Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,variant,variant-index,creator,lifecycle:transition,workgroup,Resource,Activity
Case 1,START,artificial,2012-10-09 14:50:16.999,Variant 12,12,Variant 12,12,Fluxicon Disco,complete,,,
Case 1,Assign seriousness,Value 1,2012-10-09 14:50:16.999,Variant 12,12,Variant 12,12,Fluxicon Disco,complete,Value 1,Value 1,Assign seriousness
Case 1,Take in charge ticket,Value 1,2012-10-09 14:51:01.000,Variant 12,12,Variant 12,12,Fluxicon Disco,complete,Value 1,Value 1,Take in charge ticket
Case 1,Take in charge ticket,Value 1,2012-10-12 15:02:56.000,Variant 12,12,Variant 12,12,Fluxicon Disco,complete,Value 1,Value 2,Take in charge ticket
Case 1,Resolve ticket,Value 1,2012-10-25 11:54:26.000,Variant 12,12,Variant 12,12,Fluxicon Disco,complete,Value 1,Value 1,Resolve ticket
Case 1,Closed,Value 1,2012-11-09 12:54:39.000,Variant 12,12,Variant 12,12,Fluxicon Disco,complete,Value 1,Value 3,Closed
Case 1,END,artificial,2012-11-09 12:54:39.001,Variant 12,12,Variant 12,12,Fluxicon Disco,complete,,,
Case 2,START,artificial,2012-04-03 08:55:37.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 2,Assign seriousness,Value 1,2012-04-03 08:55:37.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 4,Assign seriousness
Case 2,Take in charge ticket,Value 1,2012-04-03 08:55:53.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 4,Take in charge ticket
Case 2,Resolve ticket,Value 1,2012-04-05 09:15:52.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 4,Resolve ticket
Case 2,Closed,Value 1,2012-05-19 09:00:28.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 2,END,artificial,2012-05-19 09:00:28.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 3,START,artificial,2010-10-29 10:14:05.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 3,Assign seriousness,Value 1,2010-10-29 10:14:05.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 6,Assign seriousness
Case 3,Take in charge ticket,Value 1,2010-11-03 16:16:11.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 7,Take in charge ticket
Case 3,Resolve ticket,Value 1,2010-11-03 16:21:17.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 7,Resolve ticket
Case 3,Closed,Value 1,2010-11-30 11:20:18.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 3,END,artificial,2010-11-30 11:20:18.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 4,START,artificial,2010-12-15 14:31:52.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 4,Assign seriousness,Value 1,2010-12-15 14:31:52.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 8,Assign seriousness
Case 4,Take in charge ticket,Value 1,2010-12-16 08:01:07.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 2,Take in charge ticket
Case 4,Resolve ticket,Value 1,2010-12-16 08:08:19.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 2,Resolve ticket
Case 4,Closed,Value 1,2011-02-12 14:40:42.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 4,END,artificial,2011-02-12 14:40:42.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 5,START,artificial,2012-04-03 13:08:31.999,Variant 9,9,Variant 9,9,Fluxicon Disco,complete,,,
Case 5,Assign seriousness,Value 1,2012-04-03 13:08:31.999,Variant 9,9,Variant 9,9,Fluxicon Disco,complete,Value 1,Value 9,Assign seriousness
Case 5,Take in charge ticket,Value 1,2012-04-03 13:45:33.000,Variant 9,9,Variant 9,9,Fluxicon Disco,complete,Value 1,Value 10,Take in charge ticket
Case 5,Resolve ticket,Value 1,2012-04-03 13:47:22.000,Variant 9,9,Variant 9,9,Fluxicon Disco,complete,Value 1,Value 10,Resolve ticket
Case 5,Take in charge ticket,Value 1,2012-04-03 14:15:02.000,Variant 9,9,Variant 9,9,Fluxicon Disco,complete,Value 1,Value 10,Take in charge ticket
Case 5,Resolve ticket,Value 1,2012-04-03 16:07:28.000,Variant 9,9,Variant 9,9,Fluxicon Disco,complete,Value 1,Value 10,Resolve ticket
Case 5,Closed,Value 1,2012-05-25 13:10:28.000,Variant 9,9,Variant 9,9,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 5,END,artificial,2012-05-25 13:10:28.001,Variant 9,9,Variant 9,9,Fluxicon Disco,complete,,,
Case 6,START,artificial,2011-10-25 15:13:57.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 6,Assign seriousness,Value 1,2011-10-25 15:13:57.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 2,Assign seriousness
Case 6,Take in charge ticket,Value 1,2011-10-25 15:58:55.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 2,Take in charge ticket
Case 6,Resolve ticket,Value 1,2011-10-26 09:54:46.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 2,Resolve ticket
Case 6,Closed,Value 1,2011-12-10 16:20:56.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 6,END,artificial,2011-12-10 16:20:56.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 7,START,artificial,2013-11-06 10:47:34.999,Variant 23,23,Variant 23,23,Fluxicon Disco,complete,,,
Case 7,Assign seriousness,Value 2,2013-11-06 10:47:34.999,Variant 23,23,Variant 23,23,Fluxicon Disco,complete,Value 2,Value 1,Assign seriousness
Case 7,Assign seriousness,Value 2,2013-11-06 10:48:53.000,Variant 23,23,Variant 23,23,Fluxicon Disco,complete,Value 2,Value 1,Assign seriousness
Case 7,Assign seriousness,Value 2,2013-11-22 08:00:08.000,Variant 23,23,Variant 23,23,Fluxicon Disco,complete,Value 2,Value 2,Assign seriousness
Case 7,Take in charge ticket,Value 2,2013-11-25 08:18:07.000,Variant 23,23,Variant 23,23,Fluxicon Disco,complete,Value 2,Value 11,Take in charge ticket
Case 7,Resolve ticket,Value 2,2013-11-25 08:57:19.000,Variant 23,23,Variant 23,23,Fluxicon Disco,complete,Value 2,Value 11,Resolve ticket
Case 7,Closed,Value 2,2013-12-10 08:57:37.000,Variant 23,23,Variant 23,23,Fluxicon Disco,complete,Value 2,Value 3,Closed
Case 7,END,artificial,2013-12-10 08:57:37.001,Variant 23,23,Variant 23,23,Fluxicon Disco,complete,,,
Case 8,START,artificial,2012-07-05 08:30:31.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 8,Assign seriousness,Value 2,2012-07-05 08:30:31.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 2,Value 1,Assign seriousness
Case 8,Take in charge ticket,Value 2,2012-07-05 09:25:45.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 2,Value 6,Take in charge ticket
Case 8,Resolve ticket,Value 2,2012-07-05 09:44:46.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 2,Value 6,Resolve ticket
Case 8,Closed,Value 2,2012-09-02 08:40:27.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 2,Value 5,Closed
Case 8,END,artificial,2012-09-02 08:40:27.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 9,START,artificial,2010-05-07 13:02:20.999,Variant 7,7,Variant 7,7,Fluxicon Disco,complete,,,
Case 9,Insert ticket,Value 1,2010-05-07 13:02:20.999,Variant 7,7,Variant 7,7,Fluxicon Disco,complete,Value 1,Value 12,Insert ticket
Case 9,Assign seriousness,Value 1,2010-05-07 13:02:34.000,Variant 7,7,Variant 7,7,Fluxicon Disco,complete,Value 1,Value 12,Assign seriousness
Case 9,Take in charge ticket,Value 1,2010-05-24 10:26:28.000,Variant 7,7,Variant 7,7,Fluxicon Disco,complete,Value 1,Value 6,Take in charge ticket
Case 9,Resolve ticket,Value 1,2010-05-25 15:35:44.000,Variant 7,7,Variant 7,7,Fluxicon Disco,complete,Value 1,Value 12,Resolve ticket
Case 9,Closed,Value 1,2010-06-09 15:35:56.000,Variant 7,7,Variant 7,7,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 9,END,artificial,2010-06-09 15:35:56.001,Variant 7,7,Variant 7,7,Fluxicon Disco,complete,,,
Case 10,START,artificial,2010-02-10 08:50:19.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
